counties,AMI,ALI,ELI,VLI,LI,MOD,PPH,total_enrolled
Alameda,147900,22762.5,45468.75,75825.0,114975.0,181937.5,3,211930
Alpine,114600,40400.0,79306.25,125087.5,193831.25,322875.0,2,68
Amador,101200,55981.25,112745.0,172106.25,269037.5,447356.25,2,4131
Butte,91600,70081.25,145671.25,214393.75,336668.75,560006.25,3,29192
Calaveras,96200,84881.25,179433.75,263256.25,414831.25,678337.5,2,5340
Colusa,83800,97743.75,212360.0,305543.75,482462.5,781412.5,3,4748
Contra Costa,147900,120506.25,257828.75,381368.75,597437.5,963350.0,3,169225
Del Norte,83800,133368.75,290755.0,423656.25,665068.75,1066425.0,2,4157
El Dorado,113900,150893.75,325855.0,478618.75,752981.25,1206543.75,3,31268
Fresno,83800,163756.25,358781.25,520906.25,820612.5,1309618.75,3,206239
Glenn,83800,176618.75,391707.5,563193.75,888243.75,1412693.75,3,6389
Humboldt,83800,189481.25,424633.75,605481.25,955875.0,1515768.75,2,17573
Imperial,83800,202343.75,457560.0,647768.75,1023506.25,1618843.75,4,36249
Inyo,85400,215456.25,490648.75,691556.25,1093537.5,1723906.25,2,3692
Kern,83800,228318.75,523575.0,733843.75,1161168.75,1826981.25,3,197042
Kings,83800,241181.25,556501.25,776131.25,1228800.0,1930056.25,3,29537
Lake,83800,254043.75,589427.5,818418.75,1296431.25,2033131.25,2,9901
Lassen,83800,266906.25,622435.0,861400.0,1365175.0,2136206.25,2,3770
Los Angeles,98200,282031.25,661323.75,926037.5,1468618.75,2257006.25,3,1313935
Madera,83800,294893.75,694250.0,968325.0,1536250.0,2360081.25,3,32161
Marin,175000,321806.25,751568.75,1063881.25,1689100.0,2575331.25,2,30483
Mariposa,83800,334668.75,784495.0,1106168.75,1756731.25,2678406.25,2,1868
Mendocino,89700,348456.25,817558.75,1149731.25,1826443.75,2788743.75,2,12846
Merced,83800,361318.75,850485.0,1192018.75,1894075.0,2891818.75,3,59676
Modoc,83800,374181.25,883411.25,1234306.25,1961706.25,2994893.75,2,1339
Mono,95800,388893.75,916475.0,1277868.75,2031418.75,3112718.75,2,1712
Monterey,100400,404318.75,953935.0,1339593.75,2130200.0,3236231.25,3,73643
Napa,129600,424243.75,995010.0,1408031.25,2239587.5,3395618.75,3,18625
Nevada,112500,441562.5,1029722.5,1461456.25,2325043.75,3533993.75,2,10930
Orange,127800,461193.75,1073860.0,1535018.75,2442737.5,3691175.0,3,441249
Placer,113900,478718.75,1108960.0,1589981.25,2530650.0,3831293.75,3,74545
Plumas,83800,491581.25,1141967.5,1632962.5,2599393.75,3934368.75,2,2110
Riverside,94500,506137.5,1175542.5,1680750.0,2675825.0,4050600.0,3,422804
Sacramento,113900,523662.5,1210642.5,1735712.5,2763737.5,4190718.75,3,247646
San Benito,140200,545243.75,1246393.75,1792787.5,2855025.0,4363175.0,3,11901
San Bernardino,94500,559800.0,1279968.75,1840575.0,2931456.25,4479406.25,3,397426
San Diego,116800,577737.5,1322375.0,1911218.75,3044481.25,4623056.25,3,476760
San Francisco,175000,604650.0,1379693.75,2006775.0,3197331.25,4838306.25,2,56501
San Joaquin,100300,620075.0,1412913.75,2051743.75,3269206.25,4961668.75,3,152956
San Luis Obispo,113100,637437.5,1449423.75,2111112.5,3364193.75,5100756.25,2,32615
San Mateo,175000,664350.0,1506742.5,2206668.75,3517043.75,5316006.25,3,84836
Santa Barbara,107300,680856.25,1552211.25,2282493.75,3638518.75,5447981.25,3,66758
Santa Clara,181300,708743.75,1607061.25,2373943.75,3779068.75,5670968.75,3,236428
Santa Cruz,132800,729143.75,1657730.0,2458375.0,3914493.75,5834306.25,3,38025
Shasta,89800,742931.25,1690743.75,2501437.5,3983400.0,5944756.25,2,26423
Sierra,90000,756768.75,1724088.75,2547562.5,4057212.5,6055456.25,2,400
Siskiyou,83800,769631.25,1757015.0,2589850.0,4124843.75,6158531.25,2,5697
Solano,112600,786950.0,1793266.25,2648506.25,4218643.75,6297006.25,3,60232
Sonoma,128100,806631.25,1832067.5,2713000.0,4321843.75,6454556.25,3,64375
Stanislaus,92600,820875.0,1865100.0,2756281.25,4391031.25,6568437.5,3,106973
Sutter,83800,833737.5,1898026.25,2798568.75,4458662.5,6671512.5,3,24463
Tehama,83800,846600.0,1930952.5,2840856.25,4526293.75,6774587.5,3,10798
Trinity,83800,859462.5,1963878.75,2883143.75,4593925.0,6877662.5,2,1610
Tulare,83800,872325.0,1996805.0,2925431.25,4661556.25,6980737.5,3,103289
Tuolumne,97700,887337.5,2030056.25,2970593.75,4733793.75,7100925.0,2,5838
Ventura,123500,906356.25,2070925.0,3038675.0,4842706.25,7252825.0,3,126942
Yolo,114000,923881.25,2105731.25,3092456.25,4928725.0,7393050.0,3,29803
Yuba,83800,936743.75,2138657.5,3134743.75,4996356.25,7496125.0,3,15472
