counties,High,Median,Low,AMI,ALI,ELI,VLI,LI,MOD,PPH,total_enrolled,GDP,PI,POP,PCI,LABOUR FORCE,EMPLOYED,UNEMPLOYED,UNEMPLOYMENT RATE
Alameda,422300.0,303100.0,217300.0,147900,22762.5,45468.75,75825.0,114975.0,181937.5,3,211930,114.015,159241119,1628997,97754,825606,798404,27202,3.3
Alpine,231100.0,184200.0,148600.0,114600,40400.0,79306.25,125087.5,193831.25,322875.0,2,68,89.237,80386,1190,67551,501,474,27,5.4
Amador,208900.0,153600.0,123000.0,101200,55981.25,112745.0,172106.25,269037.5,447356.25,2,4131,99.711,2006939,41412,48463,14350,13716,634,4.4
Butte,170100.0,129800.0,94600.0,91600,70081.25,145671.25,214393.75,336668.75,560006.25,3,29192,99.189,11396345,207303,54974,91978,87878,4100,4.5
Calaveras,215100.0,156900.0,122200.0,96200,84881.25,179433.75,263256.25,414831.25,678337.5,2,5340,95.283,2607568,46563,56001,22266,21455,811,3.6
Colusa,146400.0,107500.0,87100.0,83800,97743.75,212360.0,305543.75,482462.5,781412.5,3,4748,105.804,1216260,21914,55502,10221,9035,1186,11.6
Contra Costa,426900.0,267800.0,184300.0,147900,120506.25,257828.75,381368.75,597437.5,963350.0,3,169225,106.477,109965993,1156966,95047,551477,532060,19417,3.5
Del Norte,169700.0,121100.0,84100.0,83800,133368.75,290755.0,423656.25,665068.75,1066425.0,2,4157,103.403,1182855,27082,43677,9363,8884,479,5.1
El Dorado,269600.0,194400.0,148600.0,113900,150893.75,325855.0,478618.75,752981.25,1206543.75,3,31268,105.685,15808893,192646,82062,93382,90231,3151,3.4
Fresno,148400.0,104900.0,80400.0,83800,163756.25,358781.25,520906.25,820612.5,1309618.75,3,206239,106.623,51316407,1015190,50549,453183,424273,28910,6.4
Glenn,132800.0,94900.0,80600.0,83800,176618.75,391707.5,563193.75,888243.75,1412693.75,3,6389,96.709,1446856,28339,51055,12861,12175,686,5.3
Humboldt,180700.0,133500.0,100600.0,83800,189481.25,424633.75,605481.25,955875.0,1515768.75,2,17573,103.552,7296395,135010,54043,59520,57147,2373,4.0
Imperial,133000.0,100000.0,82000.0,83800,202343.75,457560.0,647768.75,1023506.25,1618843.75,4,36249,105.956,8075656,178713,45188,70004,59736,10268,14.7
Inyo,224200.0,161300.0,115700.0,85400,215456.25,490648.75,691556.25,1093537.5,1723906.25,2,3692,91.36,1151182,18718,61501,8261,7955,306,3.7
Kern,129000.0,93300.0,73700.0,83800,228318.75,523575.0,733843.75,1161168.75,1826981.25,3,197042,100.023,41098858,916108,44862,391736,364575,27161,6.9
Kings,130800.0,97600.0,76500.0,83800,241181.25,556501.25,776131.25,1228800.0,1930056.25,3,29537,102.551,6505590,152981,42525,56448,52499,3949,7.0
Lake,175400.0,122600.0,89100.0,83800,254043.75,589427.5,818418.75,1296431.25,2033131.25,2,9901,96.125,3111067,68191,45623,28530,27116,1414,5.0
